phase,hand_strength,num_bets,pot_size_bb,to_call_bb,action,hero_profit,street,board_paired,board_flush_possible,board_straight_possible
preflop,0.3,1,1.5,0.0,raise,10,,,,
preflop,0.2,1,1.5,0.0,raise,70,,,,
postflop,0.2745912623961404,0,5.5,0.0,call,70,Flop,0.0,1.0,0.0
postflop,0.2745912623961404,1,7.5,2.0,raise,70,Flop,0.0,1.0,0.0
postflop,0.27499329938354333,0,9.5,0.0,call,70,Turn,0.0,1.0,0.0
postflop,0.27499329938354333,1,11.5,2.0,call,70,Turn,0.0,1.0,0.0
postflop,0.27499329938354333,0,13.5,0.0,raise,70,River,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,raise,-65,,,,
postflop,0.28785848298043415,0,5.5,0.0,call,-65,Flop,0.0,0.0,0.0
postflop,0.28785848298043415,1,7.5,2.0,raise,-65,Flop,0.0,0.0,0.0
postflop,0.2889305816135085,0,9.5,0.0,raise,-65,Turn,0.0,1.0,0.0
postflop,0.2889305816135085,0,13.5,0.0,call,-65,River,0.0,1.0,0.0
preflop,0.175,1,1.5,0.0,raise,30,,,,
postflop,0.025864379522916092,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.15,1,1.5,0.0,call,-5,,,,
postflop,0.008442776735459678,0,1.5,0.0,fold,-5,Flop,0.0,0.0,1.0
preflop,0.3,1,1.5,0.0,call,-65,,,,
postflop,0.08697400160814794,0,1.5,0.0,raise,-65,Flop,0.0,0.0,1.0
postflop,0.1648351648351648,0,5.5,0.0,raise,-65,Turn,0.0,0.0,0.0
postflop,0.16496917716429915,0,9.5,0.0,raise,-65,River,0.0,1.0,0.0
preflop,0.375,1,1.5,0.0,call,-5,,,,
postflop,0.04315196998123827,0,1.5,0.0,fold,-5,Flop,0.0,0.0,1.0
preflop,0.275,1,1.5,0.0,raise,-25,,,,
postflop,0.3539265612436344,0,5.5,0.0,fold,-25,Flop,0.0,0.0,1.0
preflop,0.125,1,1.5,0.0,call,-65,,,,
postflop,0.42120075046904315,0,1.5,0.0,raise,-65,Flop,1.0,0.0,1.0
postflop,0.4229429107477888,0,5.5,0.0,raise,-65,Turn,1.0,0.0,1.0
postflop,0.4229429107477888,0,9.5,0.0,raise,-65,River,1.0,0.0,0.0
preflop,0.125,1,1.5,0.0,call,-5,,,,
postflop,0.35473063521844006,0,1.5,0.0,call,-5,Flop,1.0,0.0,1.0
postflop,0.35473063521844006,1,3.5,2.0,fold,-5,Flop,1.0,0.0,1.0
preflop,0.4,1,1.5,0.0,call,10,,,,
postflop,0.53631734119539,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,call,-65,,,,
preflop,0.3,2,3.5,2.0,call,-65,,,,
postflop,0.08643795229161078,0,5.5,0.0,call,-65,Flop,0.0,0.0,0.0
postflop,0.08643795229161078,1,7.5,2.0,raise,-65,Flop,0.0,0.0,0.0
postflop,0.08871616188689357,0,9.5,0.0,raise,-65,Turn,0.0,0.0,0.0
postflop,0.39828464218708126,0,13.5,0.0,call,-65,River,1.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,-25,,,,
postflop,0.3056821227552935,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.5,1,1.5,0.0,raise,10,,,,
preflop,0.1,1,1.5,0.0,call,-5,,,,
postflop,0.03578129187885282,0,1.5,0.0,fold,-5,Flop,0.0,1.0,0.0
preflop,0.25,1,1.5,0.0,call,-5,,,,
postflop,0.3611632270168855,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,30,,,,
postflop,0.30782632002144195,0,5.5,0.0,raise,30,Flop,0.0,0.0,1.0
preflop,0.525,1,1.5,0.0,raise,-25,,,,
postflop,0.1378986866791745,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.35,1,1.5,0.0,raise,-25,,,,
postflop,0.3249798981506299,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.425,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,10,,,,
postflop,0.12838381131064058,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,raise,10,,,,
preflop,0.45,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
preflop,0.25,2,3.5,2.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.375,1,1.5,0.0,raise,30,,,,
postflop,0.05976949879388904,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.1,1,1.5,0.0,call,-5,,,,
postflop,0.3584829804341999,0,1.5,0.0,call,-5,Flop,0.0,1.0,1.0
postflop,0.5789332618600911,0,1.5,0.0,call,-5,Turn,0.0,1.0,0.0
postflop,0.5792012865183597,0,1.5,0.0,fold,-5,River,0.0,1.0,0.0
preflop,0.225,1,1.5,0.0,call,-65,,,,
postflop,0.4387563655856339,0,1.5,0.0,raise,-65,Flop,1.0,0.0,0.0
postflop,0.4458590190297508,0,5.5,0.0,raise,-65,Turn,1.0,0.0,0.0
postflop,0.4466630930045564,0,9.5,0.0,raise,-65,River,1.0,0.0,0.0
preflop,0.225,1,1.5,0.0,call,-5,,,,
postflop,0.03738943982846421,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
preflop,0.2,2,3.5,2.0,fold,-5,,,,
preflop,0.125,1,1.5,0.0,call,10,,,,
postflop,0.09086035915304203,0,1.5,0.0,raise,10,Flop,0.0,1.0,0.0
preflop,0.25,1,1.5,0.0,call,30,,,,
postflop,0.7468507102653443,0,1.5,0.0,call,30,Flop,1.0,0.0,1.0
postflop,0.9919592602519431,0,1.5,0.0,raise,30,Turn,1.0,0.0,1.0
postflop,0.9919592602519431,0,5.5,0.0,call,30,River,1.0,0.0,0.0
preflop,0.25,1,1.5,0.0,call,10,,,,
postflop,0.5849638166711337,0,1.5,0.0,raise,10,Flop,1.0,0.0,1.0
preflop,0.125,1,1.5,0.0,call,10,,,,
postflop,0.09059233449477355,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,call,30,,,,
preflop,0.25,2,3.5,2.0,raise,30,,,,
postflop,0.4201286518359689,0,5.5,0.0,raise,30,Flop,1.0,0.0,1.0
preflop,0.15,1,1.5,0.0,fold,-5,,,,
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.225,1,1.5,0.0,call,-5,,,,
postflop,0.4049852586437952,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,call,10,,,,
postflop,0.08295363173411952,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,raise,-65,,,,
postflop,0.2886625569552399,0,5.5,0.0,raise,-65,Flop,0.0,0.0,1.0
postflop,0.2886625569552399,0,9.5,0.0,raise,-65,Turn,0.0,1.0,0.0
postflop,0.2886625569552399,0,13.5,0.0,call,-65,River,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,call,10,,,,
postflop,0.2991155186277138,0,1.5,0.0,raise,10,Flop,0.0,0.0,1.0
preflop,0.425,1,1.5,0.0,fold,-5,,,,
preflop,0.15,1,1.5,0.0,call,-5,,,,
postflop,0.1192709729295095,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.225,1,1.5,0.0,raise,-65,,,,
postflop,0.07759313856874828,0,5.5,0.0,raise,-65,Flop,0.0,0.0,0.0
postflop,0.36772983114446534,0,9.5,0.0,raise,-65,Turn,1.0,0.0,0.0
postflop,0.36772983114446534,0,13.5,0.0,call,-65,River,1.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,10,,,,
preflop,0.225,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,raise,-25,,,,
postflop,0.5443580809434467,0,5.5,0.0,fold,-25,Flop,0.0,1.0,0.0
preflop,0.35,1,1.5,0.0,fold,-5,,,,
preflop,0.55,1,1.5,0.0,fold,-5,,,,
preflop,0.55,1,1.5,0.0,fold,-5,,,,
preflop,0.2,1,1.5,0.0,raise,10,,,,
preflop,0.525,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
postflop,0.1038595550790673,0,1.5,0.0,fold,-5,Flop,0.0,0.0,1.0
preflop,0.1,1,1.5,0.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,call,10,,,,
postflop,0.5304207987134817,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,raise,-45,,,,
postflop,0.2512731171267757,0,5.5,0.0,raise,-45,Flop,0.0,0.0,0.0
postflop,0.2515411417850443,0,9.5,0.0,fold,-45,Turn,0.0,0.0,0.0
preflop,0.45,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.275,1,1.5,0.0,raise,10,,,,
preflop,0.3,1,1.5,0.0,call,-45,,,,
postflop,0.4963816671133744,0,1.5,0.0,raise,-45,Flop,0.0,1.0,0.0
postflop,0.49651567944250874,0,5.5,0.0,raise,-45,Turn,0.0,1.0,0.0
postflop,0.5187617260787992,0,9.5,0.0,fold,-45,River,0.0,1.0,0.0
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,1.0,1,1.5,0.0,raise,30,,,,
postflop,0.5331010452961673,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,call,10,,,,
postflop,0.17274189225408743,0,1.5,0.0,raise,10,Flop,0.0,0.0,1.0
preflop,0.125,1,1.5,0.0,call,10,,,,
postflop,0.0005360493165371683,0,1.5,0.0,raise,10,Flop,0.0,0.0,1.0
preflop,0.8,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
preflop,0.25,2,3.5,2.0,fold,-5,,,,
preflop,0.275,1,1.5,0.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,call,10,,,,
postflop,0.019699812382739212,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.5,1,1.5,0.0,fold,-5,,,,
preflop,0.6,1,1.5,0.0,fold,-5,,,,
preflop,0.225,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,raise,-25,,,,
postflop,0.28692039667649427,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.2,1,1.5,0.0,raise,10,,,,
preflop,0.225,1,1.5,0.0,call,-45,,,,
postflop,0.0494505494505495,0,1.5,0.0,raise,-45,Flop,0.0,0.0,1.0
postflop,0.04958456177968373,0,5.5,0.0,raise,-45,Turn,0.0,0.0,0.0
postflop,0.36290538729563115,0,9.5,0.0,fold,-45,River,1.0,0.0,0.0
preflop,0.45,1,1.5,0.0,raise,10,,,,
preflop,0.3,1,1.5,0.0,fold,-5,,,,
preflop,0.55,1,1.5,0.0,raise,10,,,,
preflop,0.5,1,1.5,0.0,call,30,,,,
preflop,0.5,2,3.5,2.0,call,30,,,,
postflop,0.46086839989279016,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.15,1,1.5,0.0,call,10,,,,
postflop,0.5817475207719109,0,1.5,0.0,raise,10,Flop,1.0,0.0,1.0
preflop,0.5,1,1.5,0.0,raise,30,,,,
postflop,0.4069954435808094,0,5.5,0.0,raise,30,Flop,0.0,1.0,1.0
preflop,0.225,1,1.5,0.0,fold,-5,,,,
preflop,0.55,1,1.5,0.0,raise,10,,,,
preflop,0.075,1,1.5,0.0,call,-25,,,,
preflop,0.075,2,3.5,2.0,call,-25,,,,
postflop,0.18815331010452963,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,call,30,,,,
preflop,0.25,2,3.5,2.0,call,30,,,,
postflop,0.409139640846958,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.45,1,1.5,0.0,fold,-5,,,,
preflop,0.15,1,1.5,0.0,call,-5,,,,
postflop,0.025730367193781856,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.175,1,1.5,0.0,call,10,,,,
postflop,0.07987134816403108,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.3,1,1.5,0.0,call,-25,,,,
preflop,0.3,2,3.5,2.0,raise,-25,,,,
postflop,0.4540337711069419,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,call,-5,,,,
postflop,0.2759313856874832,0,1.5,0.0,fold,-5,Flop,0.0,0.0,1.0
preflop,0.15,1,1.5,0.0,raise,10,,,,
preflop,0.125,1,1.5,0.0,call,10,,,,
postflop,0.04087376038595547,0,1.5,0.0,call,10,Flop,0.0,0.0,0.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
postflop,0.13186813186813184,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.15,1,1.5,0.0,call,10,,,,
postflop,0.5971589386223533,0,1.5,0.0,raise,10,Flop,1.0,0.0,0.0
preflop,0.225,1,1.5,0.0,fold,-5,,,,
preflop,0.15,1,1.5,0.0,call,10,,,,
postflop,0.2483248458858215,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.45,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,raise,70,,,,
postflop,0.15585633878316807,0,5.5,0.0,raise,70,Flop,0.0,0.0,0.0
postflop,0.15652640042883947,0,9.5,0.0,raise,70,Turn,0.0,0.0,0.0
postflop,0.15652640042883947,0,13.5,0.0,raise,70,River,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
postflop,0.14526936478155994,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.15,1,1.5,0.0,call,-5,,,,
postflop,0.21736799785580274,0,1.5,0.0,call,-5,Flop,0.0,0.0,0.0
postflop,0.219914232109354,0,1.5,0.0,fold,-5,Turn,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
postflop,0.1913696060037523,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.45,1,1.5,0.0,fold,-5,,,,
preflop,0.15,1,1.5,0.0,raise,10,,,,
preflop,0.3,1,1.5,0.0,raise,-25,,,,
postflop,0.15974269632806215,0,5.5,0.0,call,-25,Flop,0.0,0.0,0.0
postflop,0.15974269632806215,1,7.5,2.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,raise,-85,,,,
postflop,0.4685071026534441,0,5.5,0.0,raise,-85,Flop,0.0,0.0,0.0
postflop,0.47534173143929237,0,9.5,0.0,raise,-85,Turn,0.0,0.0,0.0
postflop,0.6275797373358349,0,13.5,0.0,raise,-85,River,1.0,0.0,0.0
preflop,0.175,1,1.5,0.0,call,10,,,,
postflop,0.10841597426963279,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,30,,,,
postflop,0.36545162154918254,0,5.5,0.0,raise,30,Flop,1.0,0.0,0.0
preflop,0.4,1,1.5,0.0,call,10,,,,
postflop,0.350844277673546,0,1.5,0.0,call,10,Flop,0.0,0.0,0.0
postflop,0.3578129187885285,0,1.5,0.0,raise,10,Turn,0.0,1.0,0.0
preflop,0.325,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,70,,,,
preflop,0.25,2,3.5,2.0,raise,70,,,,
postflop,0.37362637362637363,0,5.5,0.0,raise,70,Flop,0.0,0.0,0.0
postflop,0.37362637362637363,0,9.5,0.0,call,70,Turn,0.0,0.0,0.0
postflop,0.37362637362637363,1,11.5,2.0,raise,70,Turn,0.0,0.0,0.0
postflop,0.7850442240686143,0,13.5,0.0,raise,70,River,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,fold,-5,,,,
preflop,0.35,1,1.5,0.0,raise,30,,,,
postflop,0.4642187081211472,0,5.5,0.0,raise,30,Flop,1.0,0.0,1.0
preflop,0.15,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,raise,-45,,,,
postflop,0.11592066470115248,0,5.5,0.0,raise,-45,Flop,0.0,0.0,0.0
postflop,0.1186009112838381,0,9.5,0.0,call,-45,Turn,0.0,0.0,0.0
postflop,0.1186009112838381,1,11.5,2.0,fold,-45,Turn,0.0,0.0,0.0
preflop,0.175,1,1.5,0.0,call,10,,,,
postflop,0.2414902170999732,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,raise,-45,,,,
postflop,0.5016081479496113,0,5.5,0.0,call,-45,Flop,0.0,0.0,0.0
postflop,0.5016081479496113,1,7.5,2.0,raise,-45,Flop,0.0,0.0,0.0
postflop,0.5017421602787456,0,9.5,0.0,call,-45,Turn,0.0,0.0,0.0
postflop,0.5017421602787456,1,11.5,2.0,fold,-45,Turn,0.0,0.0,0.0
preflop,0.425,1,1.5,0.0,raise,10,,,,
preflop,0.35,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,call,-45,,,,
postflop,0.5459662288930582,0,1.5,0.0,raise,-45,Flop,1.0,0.0,0.0
postflop,0.5461002412221925,0,5.5,0.0,call,-45,Turn,1.0,0.0,0.0
postflop,0.5466362905387296,0,5.5,0.0,raise,-45,River,1.0,0.0,0.0
preflop,0.125,1,1.5,0.0,call,-5,,,,
postflop,0.0662020905923345,0,1.5,0.0,call,-5,Flop,0.0,0.0,0.0
postflop,0.18962744572500667,0,1.5,0.0,fold,-5,Turn,0.0,0.0,0.0
preflop,0.125,1,1.5,0.0,call,-5,,,,
preflop,0.125,2,3.5,2.0,fold,-5,,,,
preflop,0.325,1,1.5,0.0,raise,10,,,,
preflop,0.3,1,1.5,0.0,call,70,,,,
preflop,0.3,2,3.5,2.0,raise,70,,,,
postflop,0.15250603055481105,0,5.5,0.0,raise,70,Flop,0.0,0.0,0.0
postflop,0.2589118198874296,0,9.5,0.0,raise,70,Turn,1.0,0.0,0.0
postflop,0.2594478692039668,0,13.5,0.0,raise,70,River,1.0,0.0,0.0
preflop,0.15,1,1.5,0.0,fold,-5,,,,
preflop,0.275,1,1.5,0.0,fold,-5,,,,
preflop,0.175,1,1.5,0.0,call,-25,,,,
postflop,0.27110694183864914,0,1.5,0.0,call,-25,Flop,0.0,0.0,0.0
postflop,0.27110694183864914,1,3.5,2.0,raise,-25,Flop,0.0,0.0,0.0
postflop,0.27110694183864914,0,5.5,0.0,fold,-25,Turn,0.0,1.0,0.0
preflop,0.175,1,1.5,0.0,raise,10,,,,
preflop,0.225,1,1.5,0.0,call,10,,,,
postflop,0.006834628785848285,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.175,1,1.5,0.0,call,-5,,,,
postflop,0.23867595818815335,0,1.5,0.0,fold,-5,Flop,0.0,1.0,0.0
preflop,0.175,1,1.5,0.0,call,10,,,,
postflop,0.051728759045832184,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.175,1,1.5,0.0,fold,-5,,,,
preflop,0.325,1,1.5,0.0,raise,-45,,,,
postflop,0.48056821227552937,0,5.5,0.0,raise,-45,Flop,1.0,0.0,0.0
postflop,0.4938354328598231,0,9.5,0.0,call,-45,Turn,1.0,0.0,0.0
postflop,0.4938354328598231,1,11.5,2.0,fold,-45,Turn,1.0,0.0,0.0
preflop,0.175,1,1.5,0.0,raise,10,,,,
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,call,70,,,,
postflop,0.3544626105601716,0,1.5,0.0,raise,70,Flop,0.0,0.0,0.0
postflop,0.3544626105601716,0,5.5,0.0,raise,70,Turn,0.0,0.0,0.0
postflop,0.5846957920128653,0,9.5,0.0,raise,70,River,0.0,0.0,0.0
preflop,0.175,1,1.5,0.0,call,10,,,,
postflop,0.12597158938622355,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,-65,,,,
postflop,0.16014473331546497,0,5.5,0.0,call,-65,Flop,0.0,0.0,0.0
postflop,0.16014473331546497,1,7.5,2.0,raise,-65,Flop,0.0,0.0,0.0
postflop,0.16014473331546497,0,9.5,0.0,raise,-65,Turn,0.0,0.0,0.0
postflop,0.2002144197266148,0,13.5,0.0,fold,-65,River,1.0,0.0,0.0
preflop,0.4,1,1.5,0.0,call,30,,,,
preflop,0.4,2,3.5,2.0,raise,30,,,,
postflop,0.13481640310908605,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.15,1,1.5,0.0,call,-25,,,,
postflop,0.026534441168587497,0,1.5,0.0,raise,-25,Flop,0.0,0.0,0.0
postflop,0.0294827124095417,0,5.5,0.0,fold,-25,Turn,0.0,0.0,0.0
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
preflop,0.25,2,3.5,2.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,raise,30,,,,
postflop,0.039801661752881246,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,raise,30,,,,
postflop,0.514339319217368,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.125,1,1.5,0.0,call,10,,,,
postflop,0.06445993031358888,0,1.5,0.0,raise,10,Flop,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
postflop,0.018225676762262166,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.15,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
postflop,0.4843205574912892,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,10,,,,
preflop,0.175,1,1.5,0.0,call,-5,,,,
preflop,0.175,2,3.5,2.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,raise,-45,,,,
postflop,0.5117930849638166,0,5.5,0.0,raise,-45,Flop,0.0,0.0,0.0
postflop,0.5117930849638166,0,9.5,0.0,fold,-45,Turn,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,raise,-25,,,,
postflop,0.11605467703028682,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
postflop,0.15934065934065933,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.2,1,1.5,0.0,fold,-5,,,,
preflop,0.225,1,1.5,0.0,raise,-25,,,,
postflop,0.009782900026802488,0,5.5,0.0,fold,-25,Flop,0.0,1.0,0.0
preflop,0.2,1,1.5,0.0,call,10,,,,
postflop,0.058295363173411996,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,fold,-5,,,,
preflop,0.45,1,1.5,0.0,call,10,,,,
postflop,0.48700080407397484,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.25,1,1.5,0.0,call,10,,,,
postflop,0.046502278209595294,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.5,1,1.5,0.0,call,-5,,,,
postflop,0.4632806218172072,0,1.5,0.0,fold,-5,Flop,1.0,0.0,1.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
postflop,0.7493969445188957,0,1.5,0.0,fold,-5,Flop,1.0,0.0,0.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
postflop,0.50187617260788,0,1.5,0.0,fold,-5,Flop,1.0,0.0,1.0
preflop,0.2,1,1.5,0.0,call,-5,,,,
postflop,0.31760922004824443,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.15,1,1.5,0.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,raise,30,,,,
postflop,0.38783168051460737,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.4,1,1.5,0.0,fold,-5,,,,
preflop,0.25,1,1.5,0.0,fold,-5,,,,
preflop,0.275,1,1.5,0.0,call,10,,,,
postflop,0.353256499597963,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,10,,,,
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.15,1,1.5,0.0,raise,10,,,,
preflop,0.525,1,1.5,0.0,call,30,,,,
preflop,0.525,2,3.5,2.0,call,30,,,,
postflop,0.48968105065666045,0,5.5,0.0,raise,30,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,call,-5,,,,
postflop,0.0720986330742428,0,1.5,0.0,fold,-5,Flop,0.0,0.0,0.0
preflop,0.275,1,1.5,0.0,raise,-25,,,,
postflop,0.15612436344143665,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,call,-5,,,,
postflop,0.03350308228357013,0,1.5,0.0,fold,-5,Flop,0.0,1.0,1.0
preflop,0.45,1,1.5,0.0,raise,30,,,,
postflop,0.5853658536585367,0,5.5,0.0,raise,30,Flop,1.0,0.0,1.0
preflop,0.25,1,1.5,0.0,call,10,,,,
postflop,0.13481640310908605,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.3,1,1.5,0.0,raise,-25,,,,
postflop,0.15438220316269102,0,5.5,0.0,fold,-25,Flop,0.0,0.0,0.0
preflop,0.15,1,1.5,0.0,raise,30,,,,
postflop,0.007370678102385453,0,5.5,0.0,raise,30,Flop,0.0,0.0,1.0
preflop,0.4,1,1.5,0.0,call,10,,,,
postflop,0.08697400160814794,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.45,1,1.5,0.0,raise,10,,,,
preflop,0.25,1,1.5,0.0,fold,-5,,,,
preflop,0.35,1,1.5,0.0,raise,10,,,,
preflop,0.35,1,1.5,0.0,raise,10,,,,
preflop,0.4,1,1.5,0.0,raise,10,,,,
preflop,0.3,1,1.5,0.0,call,-5,,,,
preflop,0.3,2,3.5,2.0,fold,-5,,,,
preflop,0.3,1,1.5,0.0,call,10,,,,
postflop,0.15049584561779683,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.1,1,1.5,0.0,raise,30,,,,
postflop,0.1673813990887162,0,5.5,0.0,raise,30,Flop,0.0,0.0,1.0
preflop,0.8,1,1.5,0.0,fold,-5,,,,
preflop,0.2,1,1.5,0.0,call,10,,,,
postflop,0.019297775395336392,0,1.5,0.0,raise,10,Flop,0.0,0.0,0.0
preflop,0.125,1,1.5,0.0,fold,-5,,,,
preflop,0.4,1,1.5,0.0,raise,30,,,,
postflop,0.3083623693379791,0,5.5,0.0,raise,30,Flop,1.0,0.0,1.0
preflop,0.8,1,1.5,0.0,raise,10,,,,
preflop,0.55,1,1.5,0.0,fold,-5,,,,
